include,purpose,use.lw,use.l,tech,batch,id,tin.id,photo.id,date,time,station,tx,stage,len.fr.bin,len.fr,len.p2w,len.p2m,raw.wt,c.wt,len,len.bin,notes,
TRUE,LW,TRUE,FALSE,Kate,NA,134,NA,NA,NA,NA,NA,8SBF,Fem,NA,NA,15.7,NA,0.01220,0.01267,15.7,15,NA
FALSE,LW,TRUE,FALSE,Kate,NA,135,NA,NA,NA,NA,NA,8SBF,Fem,NA,NA,17.6,NA,NA,NA,17.6,17,weights not recorded for some reason
TRUE,LW,TRUE,FALSE,Kate,NA,136,NA,NA,NA,NA,NA,Fresh,Fem,13,14.4,NA,NA,0.00690,0.00736,14.4,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,137,NA,NA,NA,NA,NA,Fresh,Grav,17,17.9,NA,NA,0.01080,0.01127,17.9,17,NA
TRUE,LW,TRUE,FALSE,Kate,NA,138,NA,NA,NA,NA,NA,8SBF,Fem,NA,NA,14.3,NA,0.00970,0.01016,14.3,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,139,NA,NA,NA,NA,NA,8SBF,Grav,NA,NA,14.9,NA,0.00960,0.01007,14.9,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,140,NA,NA,NA,NA,NA,Fresh,Male,13,13.9,NA,NA,0.00640,0.00686,13.9,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,141,NA,NA,NA,NA,NA,Fresh,Grav,15,15.1,NA,NA,0.00650,0.00696,15.1,15,NA
TRUE,LW,TRUE,FALSE,Kate,NA,142,NA,NA,NA,NA,NA,8SBF,Grav,NA,NA,14.8,NA,0.01170,0.01217,14.8,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,143,NA,NA,NA,NA,NA,Fresh,Male,11,12.5,NA,NA,0.00240,0.00286,12.5,11,NA
TRUE,LW,TRUE,FALSE,Kate,NA,144,NA,NA,NA,NA,NA,Fresh,Male,13,14.8,NA,NA,0.00530,0.00577,14.8,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,145,NA,NA,NA,NA,NA,Fresh,Male,13,14.4,NA,NA,0.00740,0.00787,14.4,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,146,NA,NA,NA,NA,NA,8SBF,Male,NA,NA,14.9,NA,0.00980,0.01027,14.9,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,147,NA,NA,NA,NA,NA,8SBF,Fem,NA,NA,14.5,NA,0.01130,0.01177,14.5,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,148,NA,NA,NA,NA,NA,8SBF,Fem,NA,NA,16.2,NA,0.01260,0.01307,16.2,15,NA
TRUE,LW,TRUE,FALSE,Kate,NA,149,NA,NA,NA,NA,NA,Fresh,Fem,13,14.8,NA,NA,0.00440,0.00486,14.8,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,150,NA,NA,NA,NA,NA,Fresh,Fem,13,13.7,NA,NA,0.00480,0.00526,13.7,13,NA
TRUE,LW,TRUE,FALSE,Kate,NA,151,NA,NA,NA,NA,NA,Fresh,Fem,15,16.2,NA,NA,0.00640,0.00686,16.2,15,NA
